"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N801AW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N801DZ",2013,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N801NW",2003,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N801UA",1997,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N802AW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N802DN",2013,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N802NW",2003,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N802SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N802UA",1997,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N803DN",2013,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N803NW",2003,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N803SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N803UA",1997,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N804AW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N804DN",2013,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N804JB",2012,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N804NW",2003,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N804SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N804UA",1997,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N805DN",2013,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N805JB",2012,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N805NW",2003,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N805SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N805UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N806AW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N806DN",2013,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N806JB",2012,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N806NW",2004,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N806SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N806UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N807AW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N807DN",2013,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N807JB",2012,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N807NW",2004,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N807SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N807UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N808AW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N808DN",2013,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N808NW",2004,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N808UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N809AW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N809DN",2013,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N809JB",2012,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N809NW",2005,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N809SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N809UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N810DN",2013,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N810NW",2005,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N810SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N810UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N811DZ",2013,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N811NW",2005,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N811UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N812AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N812DN",2013,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N812NW",2006,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N812SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N812UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N813AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N813DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N813NW",NA,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N813SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N813UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N81449",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N814AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N814DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N814NW",2007,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N814SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N814UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N815AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N815DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N815NW",2007,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N815SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N815UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N816AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N816DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N816NW",2007,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N816SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N816UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N817AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N817DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N817NW",2007,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N817SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N817UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N818AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N818DA",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N818NW",2007,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N818UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N819AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N819DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N819DX",2004,"Fixed wing multi engine","BOEING","757-26D",2,178,NA,"Turbo-fan"
"N819NW",2007,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N819UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N820AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N820DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N820DX",2004,"Fixed wing multi engine","BOEING","757-26D",2,178,NA,"Turbo-fan"
"N820NW",2007,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N820SK",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N820UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N821AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N821DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N821DX",2004,"Fixed wing multi engine","BOEING","757-26D",2,178,NA,"Turbo-fan"
"N821JB",2012,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N821NW",2007,"Fixed wing multi engine","AIRBUS","A330-323",2,379,NA,"Turbo-fan"
"N821SK",2007,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N821UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N822AW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N822DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N822DX",2005,"Fixed wing multi engine","BOEING","757-26D",2,178,NA,"Turbo-fan"
"N822NW",2015,"Fixed wing multi engine","AIRBUS","A330-302",2,451,NA,"Turbo-fan"
"N822SK",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N822UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N823AW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N823DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N823DX",2005,"Fixed wing multi engine","BOEING","757-26D",2,178,NA,"Turbo-fan"
"N823NW",2015,"Fixed wing multi engine","AIRBUS","A330-302",2,451,NA,"Turbo-fan"
"N823SK",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N823UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N824AS",1997,"Fixed wing multi engine","CANADAIR","CL-600-2B19",2,55,NA,"Turbo-fan"
"N824AW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N824DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N824NW",2015,"Fixed wing multi engine","AIRBUS","A330-302",2,451,NA,"Turbo-fan"
"N824SK",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N824UA",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N825AW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N825DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N825NW",2015,"Fixed wing multi engine","AIRBUS","A330-302",2,451,NA,"Turbo-fan"
"N825SK",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N825UA",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N826AW",NA,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N826DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N826NW",2016,"Fixed wing multi engine","AIRBUS","A330-302",2,451,NA,"Turbo-fan"
"N826UA",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N827AW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N827DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N827JB",2013,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N827UA",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N828AW",NA,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N828DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N828JB",2013,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N828UA",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N829DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N829NW",2016,"Fixed wing multi engine","AIRBUS","A330-302",2,451,NA,"Turbo-fan"
"N829UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N8301J",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8302F",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8303R",NA,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8305E",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8306H",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8307K",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8308K",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8309C",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N830AW",NA,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N830DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N830MH",2000,"Fixed wing multi engine","BOEING","767-432ER",2,300,NA,"Turbo-fan"
"N830UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N8310C",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8311Q",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8312C",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8313F",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8314L",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8315C",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8316H",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8317M",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8318F",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8319F",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N831AW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N831DN",2014,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N831UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N8320J",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8321D",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8322X",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8323C",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8324A",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8325D",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8326F",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8327A",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8328A",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N8329B",2012,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N832AW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-132",2,179,NA,"Turbo-jet"
"N832DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N832UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N833AW",2002,"Fixed wing multi engine","AIRBUS","A319-132",2,179,NA,"Turbo-fan"
"N833DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N833UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N834AW",NA,"Fixed wing multi engine","AIRBUS","A319-132",2,179,NA,"Turbo-fan"
"N834DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N834JB",2013,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N834UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N835AW",NA,"Fixed wing multi engine","AIRBUS","A319-132",2,179,NA,"Turbo-fan"
"N835DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N835UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N835VA",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N836AW",2005,"Fixed wing multi engine","AIRBUS","A319-132",2,179,NA,"Turbo-fan"
"N836DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N836UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N836VA",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N837AW",2005,"Fixed wing multi engine","AIRBUS","A319-132",2,179,NA,"Turbo-fan"
"N837DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N837UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N837VA",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N838AW",2005,"Fixed wing multi engine","AIRBUS","A319-132",2,179,NA,"Turbo-fan"
"N838DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N838UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N838VA",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N839AW",2006,"Fixed wing multi engine","AIRBUS","A319-132",2,179,NA,"Turbo-fan"
"N839DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N839MH",2001,"Fixed wing multi engine","BOEING","767-432ER",2,300,NA,"Turbo-fan"
"N839UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N839VA",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N840AW",2006,"Fixed wing multi engine","AIRBUS","A319-132",2,179,NA,"Turbo-fan"
"N840DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N840UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N840VA",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N841DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N841UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N841VA",NA,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N842DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N842MH",2001,"Fixed wing multi engine","BOEING","767-432ER",2,300,NA,"Turbo-fan"
"N842UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N842VA",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N843DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N843UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N843VA",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N844DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N844UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N844VA",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N845DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N845UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N845VA",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N846DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N846UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N846VA",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N847DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N847UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N847VA",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N848DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N848UA",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N848VA",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N849DN",2015,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N849UA",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N849VA",2012,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N8501V",2016,"Fixed wing multi engine","BOEING","737-800",2,189,NA,"Turbo-fan"
"N8502Z",2016,"Fixed wing multi engine","BOEING","737-800",2,189,NA,"Turbo-fan"
"N8503A",2016,"Fixed wing multi engine","BOEING","737-800",2,189,NA,"Turbo-fan"
"N8504G",2016,"Fixed wing multi engine","BOEING","737-800",2,189,NA,"Turbo-fan"
"N8507C",2016,"Fixed wing multi engine","BOEING","737-800",2,189,NA,"Turbo-fan"
"N8508W",2016,"Fixed wing multi engine","BOEING","737-800",2,189,NA,"Turbo-fan"
"N8509U",2016,"Fixed wing multi engine","BOEING","737-800",2,189,NA,"Turbo-fan"
"N850AA",2007,"Fixed wing single engine","SOCATA","TBM 700",1,7,NA,"Turbo-prop"
"N850DN",NA,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N850UA",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"N8510E",2016,"Fixed wing multi engine","BOEING","737-800",2,189,NA,"Turbo-fan"
"N8511K",2016,"Fixed wing multi engine","BOEING","737-800",2,189,NA,"Turbo-fan"
"N8512U",2016,"Fixed wing multi engine","BOEING","737-800",2,189,NA,"Turbo-fan"
"N8513F",2016,"Fixed wing multi engine","BOEING","737-800",2,189,NA,"Turbo-fan"
"N851DN",2016,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N851NW",2004,"Fixed wing multi engine","AIRBUS INDUSTRIE","A330-223",2,379,NA,"Turbo-jet"
"N851UA",2002,"Fixed wing multi engine","AIRBUS","A319-131",2,179,NA,"Turbo-jet"
"N851VA",2012,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N852DN",2016,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N852UA",2002,"Fixed wing multi engine","AIRBUS","A319-131",2,179,NA,"Turbo-jet"
"N852VA",2012,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N853DN",2016,"Fixed wing multi engine","BOEING","737-932ER",2,222,NA,"Turbo-fan"
"N853NW",2004,"Fixed wing multi engine","AIRBUS","A330-223",3,379,NA,"Turbo-fan"
"N853UA",2002,"Fixed wing multi engine","AIRBUS","A319-131",2,179,NA,"Turbo-jet"
